seq,age
600,59
601,51
602,30
603,20
604,38
605,28
606,23
607,26
608,53
609,46
610,56
611,32
612,43
613,47
614,19
615,55
616,40
617,63
618,46
619,44
620,38
621,50
622,19
623,57
624,32
625,48
626,45
627,55
628,31
629,40
630,23
631,53
632,57
633,46
634,65
635,24
636,21
637,25
638,51
639,37
640,47
641,34
642,51
643,42
644,38
645,22
646,48
647,22
648,44
649,60
650,32
651,20
652,21
653,25
654,22
655,38
656,46
657,19
658,37
659,25
660,27
661,57
662,44
663,32
664,24
665,62
666,31
667,34
668,19
669,26
670,30
671,52
672,59
673,60
674,43
675,56
676,31
677,26
678,55
679,27
680,39
681,29
682,63
683,50
684,63
685,55
686,62
687,23
688,27
689,28
690,58
691,60
692,36
693,64
694,51
695,53
696,30
697,59
698,60
699,52
700,65
701,36
702,31
703,58
704,20
705,29
706,64
707,39
708,56
709,54
710,25
711,61
712,49
713,32
714,57
715,39
716,64
717,20
718,54
719,30
720,56
721,55
722,26
723,59
724,49
725,29
726,65
727,44
728,47
729,60
730,30
731,64
732,53
733,65
734,33
735,35
736,43
737,61
738,42
739,59
740,56
741,28
742,64
743,62
744,29
745,65
746,58
747,21
748,53
749,26
750,18
751,25
752,65
753,30
754,40
755,64
756,23
757,26
758,65
759,44
760,59
761,54
762,27
763,34
764,38
765,40
766,54
767,43
768,21
769,46
770,46
771,48
772,28
773,64
774,56
775,20
776,42
777,47
778,18
779,19
780,55
781,23
782,29
783,53
784,51
785,24
786,26
787,45
788,38
789,48
790,52
791,59
792,28
793,46
794,22
795,38
796,45
797,61
798,44
799,28
800,27
801,42
802,49
803,62
804,61
805,30
806,29
807,19
808,37
809,41
810,23
811,33
812,30
813,29
814,40
815,23
816,58
817,50
818,28
819,19
820,61
821,45
822,32
823,25
824,37
825,32
826,26
827,41
828,27
829,44
830,26
831,19
832,22
833,20
834,58
835,22
836,61
837,28
838,59
839,39
840,48
841,25
842,37
843,22
844,36
845,59
846,63
847,45
848,61
849,64
850,29
851,41
852,24
853,49
854,36
855,43
856,35
857,35
858,56
859,45
860,20
861,31
862,20
863,46
864,39
865,61
866,38
867,64
868,41
869,58
870,22
871,65
872,36
873,28
874,20
875,41
876,33
877,37
878,59
879,57
880,19
881,41
882,47
883,47
884,54
885,53
886,37
887,29
888,19
889,47
890,47
891,42
892,34
893,50
894,34
895,44
896,18
897,18
898,46
899,39
900,60
901,36
902,30
903,44
904,36
905,30
906,40
907,31
908,36
909,29
910,47
911,55
912,27
913,47
914,53
915,61
916,43
917,32
918,43
919,62
920,22
921,46
922,41
923,42
924,42
925,60
926,24
927,58
928,61
929,58
930,45
931,57
932,61
933,51
934,33
935,21
936,29
937,31
938,19
939,25
940,23
941,59
942,63
943,50
944,32
945,40
946,20
947,40
948,33
949,34
950,53
951,28
952,19
953,51
954,38
955,53
956,23
957,63
958,45
959,53
960,31
961,31
962,27
963,38
964,35
965,39
966,43
967,18
968,21
969,19
970,29
971,36
972,57
973,38
974,51
975,32
976,54
977,53
978,39
979,48
980,19
981,23
982,19
983,41
984,58
985,35
986,25
987,50
988,55
989,48
990,54
991,52
992,18
993,65
994,29
995,29
996,59
997,44
998,48
999,63
1000,34

